Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.7863288589023422,1.0,0.7863288589023422,0.0,0.0,1.0,0.0,2.485081994200164,,
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,3.0,6.999905354116734,3.0,6.999905354116734,1.0,12.452455610388247,5.0,1.0,13.968843390256614,,
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.19351276836089257,1.0,0.19351276836089257,0.0,0.0,1.0,0.0,0.42852561263933375,,
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.660120374487876,True,True,17.769168452146417,13.706302377692927,296.0,54.83510817750109,108.0,94.51486167048739,196.0,54.97428438094256,1097.0,1276.0,113.32947255906996,28,42
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.35334074863071413,1.0,0.35334074863071413,0.0,0.0,1.0,0.0,1.8800045395221476,,
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.331940482787298,True,True,21.086984389337527,8.331940482787298,229.0,64.69728493073288,97.0,111.02948658856249,146.0,61.587250934922615,1054.0,1260.0,130.3962659057434,42,42
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.030535545111983912,1.0,0.030535545111983912,0.0,0.0,1.0,0.0,0.11062425476830745,,
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,4.154809807675483,True,True,4.154809807675483,10.343087929895923,323.0,55.582952241888606,124.0,108.27492873828852,215.0,55.511164921697386,1103.0,1364.0,116.7186748480252,35,56
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,3.0,8.054310519865071,2.0,6.697630047579702,1.0,7.794332379048903,3.0,1.0,13.63893410847729,,
3000,1200,1200,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,2.409511635343453,1.0,2.409511635343453,0.0,0.0,1.0,0.0,2.935063099951503,,
