Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.6218381977687297,1.0,1.6218381977687297,0.0,0.0,1.0,0.0,2.4547465349007167,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.4365599154020838,1.0,0.4365599154020838,0.0,0.0,1.0,0.0,1.0145274339677175,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,2.809899966423965,2.0,2.809899966423965,0.0,0.0,3.0,0.0,20.58671241422966,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,11.12863039015505,True,True,20.926363971692748,11.12863039015505,722.0,38.766081583376256,52.0,67.22763965878354,679.0,38.766081583376256,342.0,2763.0,98.67100840839282,35,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.5800215229499872,1.0,0.5800215229499872,0.0,0.0,1.0,0.0,1.3244296517368124,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,9.995226285271414,True,True,24.79757177550843,9.995226285271414,709.0,38.54353679657099,73.0,78.32321083132813,654.0,38.530611275334415,339.0,2758.0,85.26547254976207,21,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,7.163057538117927,True,True,22.626739153701468,7.571181499053041,693.0,35.14743698474903,51.0,74.15882401282937,647.0,35.14743698474903,306.0,2764.0,80.79389555647032,28,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.45915797824321,1.0,1.45915797824321,0.0,0.0,1.0,0.0,2.0955843530918634,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,4.667098963581845,True,True,17.75829777115784,6.160569354725604,685.0,33.013384267415894,57.0,73.49098603050281,646.0,33.01050748980464,307.0,2763.0,95.54117388565287,35,35
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,11.788608075185412,True,True,28.642190493100887,11.788608075185412,635.0,43.89730678555898,54.0,96.20030880814154,595.0,43.89730678555898,300.0,2690.0,103.29617745865548,42,63
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.8699331574061167,1.0,0.8699331574061167,0.0,0.0,1.0,0.0,0.988449432442215,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.7476664541075784,1.0,0.7476664541075784,0.0,0.0,1.0,0.0,3.3083195618182755,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.25011555290153215,1.0,0.25011555290153215,0.0,0.0,1.0,0.0,0.9241264205371404,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,17.0243011022384,True,True,21.66268074693273,21.16331716024735,642.0,47.55280312424836,50.0,92.89499506238246,603.0,47.72041912436839,312.0,2724.0,106.45211110364656,42,42
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,1.4064517651534554,2.0,1.443443012269676,0.0,0.0,2.0,0.0,5.4092709310571205,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.3650186861460264,1.0,0.3650186861460264,0.0,0.0,1.0,0.0,1.8301674805694184,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.6796477099020689,1.0,0.6796477099020689,0.0,0.0,1.0,0.0,1.2426332083079221,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,4.198243631755628,1.0,0.20114291555856617,2.0,6.2459122441300625,1.0,2.0,6.509183923392721,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,12.14261683050436,True,True,23.1494544780082,12.14261683050436,698.0,35.30710296389594,53.0,76.29003675157904,662.0,35.86920215521558,301.0,2728.0,87.61427381240951,35,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.6108359599473816,1.0,1.6108359599473816,0.0,0.0,1.0,0.0,1.6865228009432167,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.1906921591401505,1.0,1.1906921591401505,0.0,0.0,1.0,0.0,2.178039725038624,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,3.4156363530451834,1.0,1.076441733884402,1.0,3.4156363530451834,1.0,1.0,4.267100572774739,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,11.193885040214793,True,True,33.72136690528958,12.032841735516305,694.0,48.5036899181224,58.0,104.14806795586844,642.0,48.368503738606414,304.0,2679.0,99.68351331040876,56,63
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,3.0,2.40171018067195,1.0,1.09440510437026,2.0,2.40171018067195,1.0,5.0,6.277710395470684,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.549263125585377,1.0,1.549263125585377,0.0,0.0,1.0,0.0,7.019714963683613,,
3000,2400,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,2.66914482255578,1.0,2.66914482255578,0.0,0.0,2.0,0.0,14.420776671900294,,
