Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.559577268309212,True,True,9.865369020945511,10.793930352188179,607.0,44.03059565971455,283.0,85.62270618037138,363.0,44.48801153155766,1792.0,1724.0,86.81372971931836,7,35
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,2.781211078253755,True,True,2.781211078253755,10.014655740776842,577.0,37.99932267672706,240.0,65.43682679163368,358.0,38.40625435054522,1781.0,1721.0,100.72246317632073,21,14
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,9.07143822399287,True,True,11.405636615719525,10.354632179522461,603.0,43.96093290600323,246.0,83.85482216821556,369.0,45.046856081264295,1867.0,1795.0,109.70984641308961,35,21
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,3.1952943501829587,True,True,4.7045408245025975,4.803085363755378,574.0,37.040224142928714,261.0,78.16518356700729,325.0,36.97409463841057,1891.0,1753.0,106.97433411202869,28,21
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,5.543806271150191,True,True,5.543806271150191,10.996064786857621,531.0,40.886272897504035,249.0,75.22219359350274,318.0,40.921402722587636,1860.0,1701.0,86.5204677391191,28,21
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,6.7816295043588,True,True,19.68401523966467,12.298492407572168,571.0,45.06241470218846,251.0,79.15537884168928,326.0,44.894862612064415,1866.0,1744.0,99.1473723121475,7,35
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,3.441437672316886,1.0,3.441437672316886,0.0,0.0,1.0,0.0,3.884026192562117,,
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,7.950176285002547,True,True,9.022419791511249,12.430856408328014,593.0,50.325329498261695,283.0,91.96585485895275,330.0,52.7659159986315,1900.0,1759.0,102.422186599071,35,35
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,9.107949245122299,True,True,9.317241570634282,11.352040823837594,596.0,43.282241793770325,255.0,85.33691942786234,366.0,42.796276294603686,1780.0,1771.0,93.84319176925442,28,42
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,3.0328998653468022,True,True,7.107637933878989,10.661860514272647,581.0,45.251215868884785,245.0,79.91877009417952,349.0,42.184651243014194,1820.0,1771.0,100.71506486834897,14,28
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.90967525831014,True,True,8.90967525831014,11.853226236572011,603.0,45.14788774731095,264.0,90.57290260796987,342.0,45.19246248208418,1864.0,1811.0,96.10606171277904,28,28
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,12.980144016602454,True,True,14.033492948230352,15.38002944875721,597.0,41.70375854297653,254.0,87.80012294632914,360.0,41.16396517631822,1798.0,1727.0,99.71887658598857,28,28
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.002392420793120006,1.0,0.002392420793120006,0.0,0.0,1.0,0.0,0.5223689344686386,,
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.302760953768928,True,True,8.67124824611868,10.888502568432898,618.0,38.27181130593324,268.0,73.62387831097601,355.0,38.226531454869445,1876.0,1801.0,86.08915120351476,21,28
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.15197564131119334,1.0,0.15197564131119334,0.0,0.0,1.0,0.0,1.0607920223041736,,
3000,600,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.0363203946635735,1.0,1.0363203946635735,0.0,0.0,1.0,0.0,1.3754444651356699,,
