Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,2.9583249854190488,1.0,2.9583249854190488,0.0,0.0,1.0,0.0,4.918883738149626,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.349311412359208,True,True,22.144385133755776,8.349311412359208,356.0,47.1786358579826,97.0,92.22581604568545,272.0,47.1786358579826,871.0,1679.0,128.29571515309286,28,35
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,3.0,4.164588469420604,1.0,0.8598380607444007,2.0,4.164588469420604,1.0,4.0,6.616940448019539,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.370427794838768,1.0,0.370427794838768,1.0,2.5395217455681256,1.0,2.0,6.1315371252281725,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,11.389225181292435,True,True,11.389225181292435,17.23341265612125,367.0,58.05199320473651,103.0,88.61385969623362,273.0,57.45922346395378,934.0,1669.0,105.75050766092048,35,28
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.021994490799340603,1.0,0.021994490799340603,0.0,0.0,1.0,0.0,1.7075003529077926,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.4576177784520195,1.0,0.4576177784520195,1.0,2.55867036687366,1.0,1.0,3.5276191161720307,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,4.0,11.54690276534107,1.0,1.3756532506925725,4.0,11.54690276534107,3.0,7.0,15.259049585034942,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.704795424545578,True,True,17.63706358356898,9.247791559064233,342.0,55.993752279965605,105.0,121.54486880212976,268.0,54.438137648664366,835.0,1672.0,103.41252529108546,42,42
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.4924118549818712,1.0,0.4924118549818712,0.0,0.0,1.0,0.0,1.0182360355226137,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,3.625696777588975,2.0,3.625696777588975,0.0,0.0,2.0,0.0,5.072338016676854,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,23.645526644667832,True,True,30.133686479774347,24.126144213725112,361.0,54.69312300751336,97.0,113.70685783157938,283.0,54.45149772457217,846.0,1677.0,134.6740406962036,28,63
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.6446266469997859,1.0,0.6446266469997859,0.0,0.0,1.0,0.0,1.2052503108506754,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,5.2010898871734526,1.0,5.2010898871734526,0.0,0.0,1.0,0.0,5.753302182265382,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.731126957022328,1.0,1.731126957022328,0.0,0.0,1.0,0.0,2.382873982131211,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.16052058863119784,1.0,0.16052058863119784,0.0,0.0,2.0,0.0,5.138736261346445,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,9.388908913357053,True,True,19.422642170799033,12.402795271043559,339.0,53.27483382908683,101.0,97.77377883178072,256.0,51.439050039968826,872.0,1600.0,118.43646342300056,42,49
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.8577270032105208,1.0,0.8577270032105208,0.0,0.0,1.0,0.0,1.5969777521347714,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,14.769064126332294,True,True,19.475799440034546,20.916032428721724,333.0,62.86872006199479,95.0,117.5103793639324,249.0,62.226031808704214,855.0,1656.0,120.48636672717493,28,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.3348465913731373,1.0,1.3348465913731373,0.0,0.0,1.0,0.0,5.3878199175962305,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,4.0,4.30322866474697,3.0,5.413030042149879,2.0,4.30322866474697,6.0,2.0,8.41617607953422,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.9615755500566807,1.0,1.9615755500566807,0.0,0.0,1.0,0.0,3.530461525130163,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.22654423241559,1.0,0.22654423241559,0.0,0.0,2.0,0.0,1.0541027249744326,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.6092083442468352,1.0,0.6092083442468352,0.0,0.0,1.0,0.0,1.9820703365675603,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,4.716208093827293,True,True,5.337153621350553,21.630321003746825,378.0,60.29396847491983,121.0,117.50506670688742,276.0,60.165811498608996,912.0,1668.0,125.46012391505478,7,21
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,3.0,4.889206587139262,1.0,0.6199179169511885,3.0,4.889206587139262,1.0,3.0,7.414865878221331,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,5.5932470643281125,2.0,5.5932470643281125,0.0,0.0,4.0,0.0,9.731519400757024,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,5.51070105510932,True,True,5.541322109030591,12.496289911428867,353.0,49.29297425294337,110.0,108.77564341208333,255.0,48.132570832952,854.0,1715.0,130.13654392469363,49,42
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,3.0,15.091973511067588,3.0,15.091973511067588,0.0,0.0,5.0,0.0,18.255685098189485,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.7420680921148899,1.0,1.7420680921148899,0.0,0.0,1.0,0.0,3.5781232375756247,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,4.0,9.093444947391104,4.0,9.093444947391104,0.0,0.0,6.0,0.0,10.101123695473895,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.4495330904176396,1.0,0.4495330904176396,0.0,0.0,1.0,0.0,1.269904619385769,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,14.519048386665071,True,True,23.5993833719586,14.627469244359972,302.0,55.481486935938875,84.0,101.6264339623136,229.0,55.29986646731751,859.0,1698.0,119.66595981928641,49,70
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,1.9540107678621201,1.0,1.9540107678621201,0.0,0.0,1.0,0.0,3.694607014145303,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,15.270587484610166,True,True,25.27346197497534,15.270587484610166,351.0,50.5681279392347,95.0,93.6986742412857,270.0,50.5681279392347,804.0,1624.0,125.31099530908911,35,63
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,6.971479663598804,True,True,6.971479663598804,14.004766916667391,363.0,46.24965283998178,107.0,116.16274857539298,273.0,46.24154864096412,849.0,1647.0,101.49833215386984,49,42
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,3.0,9.222805314567163,3.0,9.222805314567163,1.0,10.770287397269993,4.0,1.0,11.675215001491603,,
3000,1500,900,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.3454950190607648,1.0,0.3454950190607648,0.0,0.0,2.0,0.0,4.004671021738225,,
