Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.8245729606588929,1.0,0.8245729606588929,0.0,0.0,1.0,0.0,1.5098326382988907,,
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,9.634551103902655,True,True,12.604168477182505,10.434834544649364,671.0,43.12409697438794,207.0,84.83747851828389,469.0,39.237740453723646,1319.0,2394.0,93.00387767939553,28,35
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,2.262179798736839,1.0,2.262179798736839,0.0,0.0,1.0,0.0,2.4073120258903655,,
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,10.729415573328014,False,False,,,5.0,10.729415573328014,3.0,8.015711747918763,2.0,10.729415573328014,4.0,3.0,15.308352967178092,,
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,2.0,1.5592129607823895,2.0,1.5592129607823895,0.0,0.0,2.0,0.0,2.379431614664492,,
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,15.90809166717679,True,True,19.19648151505537,21.638431585236887,693.0,51.533197110841805,210.0,104.68022242939095,496.0,51.07319720120214,1337.0,2422.0,104.14136288719338,42,35
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,5.293731128171625,True,True,8.727909832506295,6.567164456292942,711.0,36.39448377694564,194.0,68.7829951250719,534.0,35.65987912662262,1320.0,2446.0,78.89367534322157,21,28
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.9691134122035884,1.0,0.9691134122035884,0.0,0.0,1.0,0.0,2.1668618156627844,,
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,8.756705397739763,True,True,18.693791825882887,11.294726377718954,657.0,39.48617544380572,185.0,80.87173158708592,489.0,37.537574404587446,1257.0,2403.0,107.02614617432357,42,35
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,15.712869068901483,True,True,22.263303538432904,15.712869068901483,766.0,42.36176976002174,204.0,86.77166782882043,580.0,43.162729776840465,1337.0,2440.0,105.23023460775771,28,42
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,False,,False,False,,,1.0,0.12525312315840334,1.0,0.12525312315840334,0.0,0.0,1.0,0.0,1.0521209889585552,,
3000,1200,300,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,4.9,4.9,0.95,0.05,True,10.151541079718493,True,True,17.384866744210107,10.151541079718493,762.0,40.368230896055884,238.0,85.63760136611937,554.0,37.89330632209819,1306.0,2448.0,88.65127491184919,35,42
