Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
True,12.740175007749478,True,True,26.988767595790748,14.015051164553945,1358.0,38.80401759118661,34.0,75.80458073328901,1337.0,38.610270105522794,154.0,4746.0,83.84382222868483,35,
False,,False,False,,,1.0,2.8300131210890287,1.0,2.8300131210890287,0.0,0.0,1.0,0.0,2.8799178851341316,,
False,,False,False,,,1.0,1.8616598465041,1.0,1.8616598465041,0.0,0.0,1.0,0.0,2.1313580933679614,,
False,,False,False,,,1.0,1.199455712134801,1.0,1.199455712134801,0.0,0.0,1.0,0.0,1.9440830628199761,,
False,,False,False,,,1.0,0.17838025449163938,1.0,0.17838025449163938,0.0,0.0,1.0,0.0,2.3371848400191793,,
True,12.418110005706483,True,True,28.95730758939707,12.418110005706483,1369.0,39.63496044557823,37.0,84.52972495312446,1341.0,39.63496044557823,172.0,4782.0,91.64087315275202,35,42
False,,False,False,,,1.0,0.8411380620814225,1.0,0.8411380620814225,0.0,0.0,1.0,0.0,1.9726536250149738,,
False,,False,False,,,1.0,2.3693320153559387,1.0,2.3693320153559387,1.0,3.59590230761383,1.0,1.0,4.852090450319191,,
False,,False,False,,,1.0,0.9229196044368357,1.0,0.9229196044368357,0.0,0.0,1.0,0.0,2.393975725025243,,
True,5.908888448210997,True,True,17.9179680489824,5.908888448210997,1375.0,29.06720972146775,34.0,59.56407397965501,1345.0,29.060249222428872,154.0,4767.0,76.84124111839463,21,42
True,9.21620138350602,True,True,29.013156589337406,9.21620138350602,1439.0,37.622788761850714,40.0,83.0678732039739,1406.0,37.622788761850714,178.0,4789.0,102.14951062893687,35,
False,,False,False,,,2.0,2.4481932243006295,1.0,1.0527171618059918,2.0,5.0065411833240265,1.0,5.0,8.155947813923397,,
False,,False,False,,,1.0,0.2749315214883835,1.0,0.2749315214883835,0.0,0.0,1.0,0.0,1.405752501217779,,
