Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
False,,False,False,,,1.0,0.25672890714346847,1.0,0.25672890714346847,0.0,0.0,1.0,0.0,1.0861791845743394,,
True,8.615351191743894,True,True,8.615351191743894,18.010383817037642,139.0,37.878777883160254,128.0,75.58942875077632,24.0,42.26827201241203,1043.0,116.0,93.03367237983873,21,28
True,5.81746925368342,True,True,5.81746925368342,22.18438672067825,129.0,34.43859548615899,121.0,72.41596754007657,14.0,34.85946397203766,1013.0,100.0,74.55083028811805,21,35
True,5.092472712139415,True,True,5.092472712139415,22.61309235503609,147.0,49.65017210884553,135.0,86.74117355822416,20.0,52.86948178263502,1126.0,118.0,101.45270856429144,35,35
False,,False,False,,,1.0,0.37818755852591845,1.0,0.37818755852591845,0.0,0.0,1.0,0.0,1.2562257114186846,,
True,8.348223744105061,True,True,8.637049414705055,19.830969488960715,124.0,44.38240852647518,115.0,90.4262662478563,18.0,46.544593255677654,1047.0,102.0,92.18283689639205,14,28
True,14.552693672743434,True,True,16.342250976690806,30.776157032556693,198.0,45.64547655057839,169.0,87.58953164868893,42.0,46.42171486873007,1142.0,154.0,90.7251466412776,14,42
True,12.990707740305423,True,True,12.990707740305423,36.54410688116132,107.0,44.178274876433285,95.0,88.97734306299294,17.0,47.18682065955041,902.0,90.0,81.28757792896252,21,35
False,,False,False,,,1.0,0.6461475029164357,1.0,0.6461475029164357,0.0,0.0,1.0,0.0,0.7394820355926678,,
True,13.231726084060854,True,True,13.231726084060854,39.13776163181748,176.0,53.35089417098489,150.0,109.89557247489708,35.0,51.797481930127894,1125.0,143.0,100.32039629062376,42,42
True,7.35994797345175,True,True,7.35994797345175,16.580205869300336,196.0,29.80997674243015,181.0,68.17976190813042,22.0,35.6419328375229,1150.0,124.0,80.89359485098919,21,28
False,,False,False,,,2.0,4.000329771533921,2.0,4.000329771533921,1.0,8.228920979021005,7.0,1.0,11.405601465029985,,
False,,False,False,,,1.0,0.1267087291806053,1.0,0.1267087291806053,0.0,0.0,1.0,0.0,5.7479156547074295,,
True,4.619960253775223,True,True,4.619960253775223,20.644864201013434,152.0,31.352893663979195,145.0,57.23078790785084,22.0,40.91713957109437,1019.0,102.0,84.7678983280167,21,21
True,14.196017398741768,True,True,17.245785740359096,31.10512504818983,183.0,43.44176859568974,164.0,86.07577010848182,22.0,44.178287693659705,1065.0,106.0,100.1819776170677,21,35
True,1.8700076390637024,True,True,1.8700076390637024,16.793603014137737,142.0,38.70464974583121,131.0,77.60807982484909,16.0,50.877174356113805,1045.0,115.0,93.62590114711418,14,28
False,,False,False,,,1.0,0.6455918664644695,1.0,0.6455918664644695,0.0,0.0,2.0,0.0,2.002374819143824,,
False,,False,False,,,1.0,0.8403576028390625,1.0,0.8403576028390625,1.0,2.171302026020392,2.0,1.0,5.456890312969575,,
True,15.38882729552838,True,True,15.670763739150386,31.72763544025414,120.0,54.17411108630719,115.0,99.11800701940393,15.0,57.65779221348592,1034.0,81.0,92.29104623506132,35,49
True,7.82216522537479,True,True,8.115240658972674,31.879909010730298,141.0,46.488585662155806,127.0,86.76818978232042,21.0,45.059621493817595,1003.0,110.0,104.41828830264951,28,42
True,23.452128347468854,True,True,23.452128347468854,46.58472486446818,158.0,57.193755433887404,149.0,120.36601816445904,17.0,64.94604698257568,1063.0,99.0,129.9573133626798,56,56
True,12.381482421428837,True,True,14.85267424496978,24.205119327121377,160.0,51.0368230492529,147.0,96.70531244545619,21.0,52.79622664972478,1053.0,121.0,104.54314592457102,28,49
False,,False,False,,,2.0,0.7622418629983476,2.0,0.7622418629983476,0.0,0.0,3.0,0.0,3.94406555091825,,
True,6.08470590115259,True,True,6.08470590115259,19.47787380801626,178.0,37.32045378697488,167.0,79.90834004982193,20.0,34.85760429691435,1107.0,114.0,93.10355201384158,21,35
False,,False,False,,,2.0,2.6728880299011926,2.0,2.6728880299011926,0.0,0.0,2.0,0.0,4.486989232788027,,
False,,False,False,,,1.0,4.171355068185372,1.0,4.171355068185372,0.0,0.0,1.0,0.0,8.343459919972755,,
True,5.021412252956639,True,False,5.021412252956639,,6.0,8.241110461121437,6.0,8.241110461121437,1.0,8.356167920380566,20.0,1.0,25.22733455790354,,
False,,False,False,,,1.0,3.992715308804032,1.0,3.992715308804032,0.0,0.0,2.0,0.0,7.40692610027656,,
False,,False,False,,,2.0,2.767493747767368,2.0,2.767493747767368,0.0,0.0,5.0,0.0,10.495729139671202,,
False,,False,False,,,2.0,5.914985543206651,2.0,5.914985543206651,0.0,0.0,2.0,0.0,7.617928299342562,,
False,,False,False,,,1.0,1.5023180328009462,1.0,1.5023180328009462,0.0,0.0,1.0,0.0,1.7879530379093462,,
True,13.733700620205479,True,True,13.733700620205479,27.821689816266414,185.0,42.14794941087078,165.0,86.71490827754448,30.0,46.24925650111722,1094.0,137.0,87.86975707575942,21,21
False,,False,False,,,2.0,2.8860036617190037,2.0,2.8860036617190037,0.0,0.0,4.0,0.0,7.403517129917944,,
False,,False,False,,,1.0,1.285002839826501,1.0,1.285002839826501,0.0,0.0,1.0,0.0,2.9606362878480112,,
False,,False,False,,,1.0,0.7316108601671053,1.0,0.7316108601671053,0.0,0.0,1.0,0.0,1.0059975394927747,,
True,5.991432549132689,True,True,7.235922405444328,21.681775056577788,150.0,46.80022203967285,135.0,89.11283247499605,23.0,57.13639116411619,1037.0,110.0,107.72100653577502,14,28
False,,False,False,,,1.0,0.6952028357673712,1.0,0.6952028357673712,0.0,0.0,1.0,0.0,1.2098853082183378,,
True,12.205774666325288,True,True,14.179989506064567,33.36276166635706,115.0,58.38936956715696,105.0,117.02003557720931,17.0,59.64734071296434,1017.0,109.0,129.54703526337164,49,7
False,,False,False,,,1.0,1.2232336562515516,1.0,1.2232336562515516,0.0,0.0,1.0,0.0,3.4408233245338185,,
False,,False,False,,,2.0,3.3531094213268946,2.0,3.3531094213268946,0.0,0.0,2.0,0.0,4.75510275515669,,
True,12.893744880468745,True,True,13.530918573219902,19.524119257541322,152.0,53.72830448917167,135.0,107.38315364270767,26.0,55.59552318913533,1094.0,126.0,93.88440672531011,14,42
False,,False,False,,,3.0,6.427239933885125,4.0,13.394807591682873,0.0,0.0,7.0,0.0,9.769897707587388,7,
True,11.727585635890838,True,True,11.727585635890838,27.23017843183167,144.0,46.32561189215222,132.0,85.83494026298285,27.0,53.78094891560471,1059.0,126.0,87.94796506737094,35,14
False,,False,False,,,1.0,0.12780000926206353,1.0,0.12780000926206353,0.0,0.0,1.0,0.0,3.135729314560545,,
False,,False,False,,,1.0,0.5307515086146924,1.0,0.5307515086146924,0.0,0.0,1.0,0.0,1.1648093642304649,,
True,5.835261423545168,True,True,8.514637978600295,24.376724147375473,136.0,40.029327154136126,133.0,86.50442359206801,15.0,43.706249321785535,1078.0,93.0,89.05510391898714,35,42
False,,False,False,,,1.0,1.422040696789406,1.0,1.422040696789406,0.0,0.0,1.0,0.0,1.5399562339332957,,
True,6.582969291947836,True,True,6.872887145714,18.825844906433552,133.0,37.282251677583304,124.0,68.39460412020352,30.0,53.51900762245934,1054.0,137.0,82.69448471111934,7,28
True,2.6070516685416765,True,True,2.6070516685416765,14.939002110000004,125.0,34.36393976031324,112.0,57.88246670937451,22.0,32.41439563408864,1012.0,111.0,84.18497914353952,21,14
False,,False,False,,,3.0,2.570011404976423,3.0,2.570011404976423,0.0,0.0,4.0,0.0,2.758579613759583,,
True,7.296737842874009,True,True,7.296737842874009,23.11486322376213,160.0,42.01552211196232,147.0,66.78581941179146,18.0,37.49596353154872,1076.0,112.0,84.51908763991227,21,35
True,3.2637240015081264,True,True,3.2637240015081264,18.20548931597322,139.0,37.4608402549547,128.0,80.94324055849877,23.0,45.244025908869666,1067.0,133.0,127.72138503515679,35,28
False,,False,False,,,2.0,4.299023091281883,2.0,4.299023091281883,0.0,0.0,3.0,0.0,5.675060304719501,,
False,,False,False,,,3.0,8.14961050365353,3.0,8.14961050365353,0.0,0.0,5.0,0.0,13.723236930413998,,
True,11.39771054529624,True,True,11.39771054529624,36.746087287412045,135.0,50.46191151393584,120.0,79.81707656635331,22.0,52.63565654884263,1005.0,102.0,107.74480997309576,28,21
False,,False,False,,,1.0,0.5256101332874943,1.0,0.5256101332874943,0.0,0.0,1.0,0.0,0.8671966548641304,,
False,,False,False,,,4.0,2.2600181771624204,3.0,1.866801881661709,1.0,2.2600181771624204,4.0,1.0,5.531776526072294,,
False,,False,False,,,1.0,1.673611917591958,1.0,1.673611917591958,0.0,0.0,1.0,0.0,2.6103022567338385,,
False,,False,False,,,1.0,1.0144346466248946,1.0,1.0144346466248946,0.0,0.0,1.0,0.0,1.3120099419642475,,
False,,False,False,,,2.0,1.606171071000897,2.0,1.606171071000897,0.0,0.0,3.0,0.0,5.323831339049265,,
True,9.157882181946869,True,True,9.157882181946869,23.224288412351616,118.0,40.88723964529776,108.0,68.81087054938189,20.0,46.03839983462715,1010.0,110.0,98.47469820919774,28,35
False,,False,False,,,4.0,6.871450348059712,4.0,6.871450348059712,1.0,11.59671955329608,12.0,1.0,17.513849720776115,,
True,6.150329768114094,True,True,6.150329768114094,24.351238826370814,168.0,40.93390807770671,154.0,79.85804005867001,21.0,46.076545210084284,1094.0,110.0,94.74827204076168,35,21
False,,False,False,,,3.0,2.3490843443735536,3.0,2.3490843443735536,0.0,0.0,12.0,0.0,11.181138106417075,,
False,,False,False,,,1.0,1.7456168931095946,1.0,1.7456168931095946,0.0,0.0,1.0,0.0,2.264491127149492,,
True,4.217103747433777,True,True,7.940640564637137,24.23078199070068,116.0,44.40798112371955,107.0,74.062213128745,14.0,35.84875605299354,1000.0,97.0,100.21515922285775,7,21
False,,False,False,,,1.0,0.5222429493823908,1.0,0.5222429493823908,0.0,0.0,1.0,0.0,0.6818213006798065,,
True,9.85579222980179,True,True,9.85579222980179,25.128098330336282,182.0,40.62185550132117,166.0,84.4408934579578,23.0,46.21482035969281,1057.0,114.0,89.60186238523215,28,21
True,5.108437636077182,True,True,5.108437636077182,27.074162010167612,134.0,44.89014127645073,120.0,75.26147822948167,23.0,49.39079840436901,1069.0,111.0,106.93480828829986,21,28
True,9.841043202477081,True,True,9.841043202477081,20.899401782974255,160.0,30.180112419615924,154.0,63.717363419501964,25.0,43.27676522986807,1030.0,103.0,74.517614730528,21,21
False,,False,False,,,1.0,0.21238003215542797,1.0,0.21238003215542797,0.0,0.0,1.0,0.0,0.4342969160868746,,
True,10.121205231775594,False,False,,,6.0,10.34070725014092,7.0,20.461912481916514,0.0,0.0,18.0,0.0,16.738642323284886,,
True,7.425579239731196,True,True,7.425579239731196,14.385267709068646,200.0,30.50457640406744,179.0,56.6249582563854,30.0,27.693955671003955,1099.0,124.0,71.29923904279767,21,28
False,,False,False,,,1.0,0.617625598733668,1.0,0.617625598733668,0.0,0.0,1.0,0.0,4.503059743739792,,
True,4.052519030777112,True,True,6.864702711100983,22.757475837011473,138.0,37.45535959944556,134.0,72.61423772413566,19.0,46.487803641637036,1035.0,83.0,83.31881189527152,21,35
True,4.556308206378772,True,True,4.556308206378772,22.053182905521513,164.0,35.20037254692611,146.0,64.2321248615162,28.0,29.65672739612713,1110.0,129.0,95.90220479283172,14,21
False,,False,False,,,2.0,0.8149538479683405,2.0,0.8149538479683405,0.0,0.0,2.0,0.0,2.576660993402883,,
False,,False,False,,,2.0,1.3173739369769872,2.0,1.3173739369769872,0.0,0.0,2.0,0.0,2.8533789425687393,,
True,12.764634141812067,True,True,12.764634141812067,22.626225405008945,134.0,39.13387897043336,132.0,76.33689624490619,17.0,56.447500690598744,982.0,98.0,95.05882871358027,35,28
False,,False,False,,,1.0,1.9895919800359605,1.0,1.9895919800359605,0.0,0.0,1.0,0.0,3.1834458738888687,,
False,,False,False,,,1.0,0.9134808166934945,1.0,0.9134808166934945,0.0,0.0,1.0,0.0,1.2330280896564767,,
True,5.609204095081753,True,True,8.970117252521787,22.31767373452911,141.0,39.7199805973894,128.0,82.24446003947108,18.0,32.87904834793444,990.0,111.0,88.64609703857472,35,21
True,8.506838689668553,True,True,8.506838689668553,30.17832572459765,134.0,41.63085449151334,117.0,80.35755216424803,31.0,50.012323964459426,1047.0,141.0,93.54297405453485,35,14
False,,False,False,,,4.0,1.6115223426956315,3.0,1.4910568659367858,1.0,1.6115223426956315,4.0,1.0,7.765483075833398,,
False,,False,False,,,1.0,0.5867929803838986,1.0,0.5867929803838986,0.0,0.0,1.0,0.0,1.2023490970540602,,
True,13.339581444758522,True,True,13.505676381128826,38.601924940048995,163.0,53.19538506333347,149.0,98.53632780546945,23.0,59.166583218775884,1057.0,110.0,96.2001616328049,21,56
False,,False,False,,,1.0,0.3772593611596465,1.0,0.3772593611596465,0.0,0.0,1.0,0.0,2.645841173185993,,
True,10.229911968082302,True,True,12.76778536292356,30.247278734052834,165.0,45.355990035335985,145.0,85.8454252328702,25.0,47.031570799479056,1073.0,129.0,94.50293165811445,35,35
True,10.176977773927389,True,True,10.176977773927389,23.722209496215235,131.0,39.04847804263341,124.0,70.03767383649831,20.0,50.29063771591604,989.0,111.0,97.44101431049721,28,21
False,,False,False,,,1.0,0.20407320492760106,1.0,0.20407320492760106,0.0,0.0,1.0,0.0,1.0949777261579916,,
False,,False,False,,,1.0,0.7383092562166949,1.0,0.7383092562166949,0.0,0.0,1.0,0.0,5.228572727470593,,
True,8.09027435473758,True,True,8.09027435473758,32.44189754696996,153.0,45.18510834972354,139.0,90.27808242796274,19.0,47.8007518960334,1058.0,100.0,99.45202162763563,21,35
True,4.4298775432653885,True,True,4.456046073101499,16.7378401964371,159.0,32.29758510681754,149.0,55.102473754055566,26.0,42.78156459703695,1037.0,133.0,88.59590099709577,21,21
False,,False,False,,,1.0,0.25875548444120455,1.0,0.25875548444120455,0.0,0.0,3.0,0.0,7.597260273236977,,
False,,False,False,,,2.0,0.5999809296848053,2.0,0.5999809296848053,0.0,0.0,2.0,0.0,3.195046390765442,,
True,10.26732843113462,True,True,10.26732843113462,20.546801076216962,184.0,35.85304218710315,171.0,74.38816196010626,26.0,36.7287888591902,1036.0,113.0,81.80052041849368,21,21
False,,False,False,,,1.0,1.408733328904391,1.0,1.408733328904391,0.0,0.0,1.0,0.0,3.194804465731374,,
True,7.0837084832278965,True,True,13.915494416157523,36.779140152414605,176.0,49.37908988848893,160.0,91.7790019667028,23.0,54.92926050558192,1137.0,112.0,103.74810618649846,35,42
False,,False,False,,,2.0,1.7861270618222775,1.0,0.6640581162822714,1.0,1.4639608475264485,2.0,1.0,5.7938930197287775,,
True,4.565364103136583,True,True,4.7116985822437965,17.29901037758737,162.0,34.6121754302502,142.0,54.322118704551855,27.0,41.79288607396405,1151.0,135.0,90.39473002847383,14,21
True,5.329088654282572,True,True,7.186468575804206,22.00485981007186,154.0,36.475843968174736,142.0,64.54393630436668,17.0,36.89569697641461,1008.0,108.0,82.1546571376195,28,28
True,10.365044751473162,True,False,10.365044751473162,,6.0,10.506157709313122,6.0,10.506157709313122,0.0,0.0,11.0,0.0,14.061572709446732,,
False,,False,False,,,1.0,0.20459179721510168,1.0,0.20459179721510168,0.0,0.0,1.0,0.0,0.49601332348555904,,
False,,False,False,,,1.0,0.7014491525154598,1.0,0.7014491525154598,0.0,0.0,1.0,0.0,1.6400228682693836,,
False,,False,False,,,1.0,2.1018868314475276,1.0,2.1018868314475276,0.0,0.0,1.0,0.0,2.566388448057474,,
True,5.137095719561456,True,True,5.981245008029786,34.25986807957564,111.0,54.34406888603396,94.0,105.75954276847804,19.0,54.66879989547832,966.0,105.0,106.6459307824916,35,49
True,5.506018222520604,True,True,8.090664768890285,22.71008436114177,141.0,35.524219908387835,127.0,75.42126219769722,25.0,43.71623108386345,1054.0,111.0,110.54132773268708,14,28
True,4.1801509918204,True,True,4.1801509918204,25.204401006018013,138.0,35.76223933205648,132.0,76.17921278252587,19.0,45.4740020443707,1116.0,124.0,100.59976276885858,21,42
False,,False,False,,,4.0,9.258563241813974,4.0,9.258563241813974,1.0,15.66532519465824,7.0,1.0,17.488884956062453,,
True,4.469046234405689,True,True,4.469046234405689,18.428521714167108,172.0,28.649876808172255,157.0,61.46804981672409,24.0,32.33152854432919,1118.0,105.0,71.21971134902606,21,21
True,9.284537381404872,True,True,9.284537381404872,27.056689730127378,139.0,55.53079765578644,120.0,102.36123040543075,21.0,56.01449462089919,996.0,111.0,115.2241850047952,42,49
False,,False,False,,,1.0,2.3070704726085536,1.0,2.3070704726085536,0.0,0.0,2.0,0.0,4.971230325071273,,
True,6.862657969352819,True,True,6.862657969352819,35.441117268008064,116.0,45.84888519679284,109.0,98.74365604102661,18.0,50.7510203539497,932.0,112.0,105.1330525813482,28,35
True,3.7638627925907446,True,True,3.7638627925907446,17.134063514382106,126.0,34.51364278021309,117.0,52.09627027514048,21.0,44.71487908543955,1040.0,117.0,113.46865044794775,14,21
False,,False,False,,,1.0,1.3358200381629743,1.0,1.3358200381629743,0.0,0.0,1.0,0.0,2.982789390288916,,
False,,False,False,,,3.0,9.108053546625188,3.0,15.212464510099059,0.0,0.0,8.0,0.0,14.169816862245911,7,
True,12.883166650009883,True,True,12.883166650009883,26.739359241772288,152.0,41.92754483187158,136.0,77.77740350636454,26.0,51.14471082705907,1110.0,116.0,89.45066249083187,28,21
False,,False,False,,,1.0,0.19583011002822048,1.0,0.19583011002822048,0.0,0.0,1.0,0.0,0.3595991496621731,,
True,17.975956239465383,True,True,18.087081604544224,40.502875501030175,130.0,68.28448401382947,113.0,137.99872491147875,25.0,69.24360354400561,985.0,114.0,105.60776373995854,49,56
True,6.2388841775355335,True,True,6.2388841775355335,24.111525479543197,196.0,34.11957922272482,174.0,66.02159588635789,27.0,41.032853030599675,1131.0,129.0,76.68543370931867,28,28
False,,False,False,,,1.0,1.8489513857242466,1.0,1.8489513857242466,0.0,0.0,2.0,0.0,7.446252773639401,,
False,,False,False,,,2.0,2.738836688300133,2.0,2.738836688300133,0.0,0.0,3.0,0.0,4.532554486974238,,
False,,False,False,,,2.0,1.2411236929487377,2.0,1.2411236929487377,0.0,0.0,2.0,0.0,2.9185029489509233,,
True,14.862897701420314,True,True,14.862897701420314,23.23806017431083,128.0,60.45576808565295,112.0,128.88659820730183,23.0,57.804879815171304,1035.0,135.0,90.18997024158985,35,42
False,,False,False,,,1.0,0.9621253501497113,1.0,0.9621253501497113,0.0,0.0,1.0,0.0,2.4618459394320213,,
False,,False,False,,,1.0,0.30423050911661076,1.0,0.30423050911661076,0.0,0.0,2.0,0.0,2.497147264858411,,
True,4.777563531100874,True,True,4.777563531100874,18.78393294601527,153.0,36.127530720738086,138.0,69.9611366231241,28.0,41.187189003401,1093.0,146.0,82.8413067391299,14,35
False,,False,False,,,1.0,0.027373047293663112,1.0,0.027373047293663112,0.0,0.0,2.0,0.0,5.153215678770576,,
False,,False,False,,,1.0,1.2044145172948328,1.0,1.2044145172948328,0.0,0.0,1.0,0.0,3.3674200814842337,,
True,10.18682445340625,True,True,10.221415272628175,30.68233693447155,157.0,45.30133696969619,148.0,79.25235518699475,22.0,57.247905054351044,1070.0,115.0,93.56664936770001,35,21
False,,False,False,,,2.0,2.696825440622055,2.0,2.696825440622055,0.0,0.0,2.0,0.0,3.140108444413395,,
True,7.549490734445454,True,True,7.549490734445454,23.60086281134277,142.0,35.065660213173594,136.0,68.22368898721395,18.0,37.8835470436806,1005.0,99.0,100.24766938748677,21,14
True,8.125255791211766,True,True,14.038063193348792,37.15647220818761,134.0,54.49979410601945,129.0,98.59443162109837,17.0,58.73056256740693,1045.0,111.0,99.1046024640992,21,42
True,12.265070914716201,True,True,12.265070914716201,42.83227121426705,131.0,55.62108516491906,119.0,108.69135594789728,17.0,51.886851997953734,999.0,94.0,118.67546423185202,28,56
True,6.242897235993304,True,True,6.242897235993304,22.046610897001027,136.0,36.78891428460715,126.0,67.26055877534633,21.0,42.95902059569263,1092.0,137.0,107.8815540443393,28,49
False,,False,False,,,2.0,5.891778940469865,2.0,5.891778940469865,0.0,0.0,3.0,0.0,6.483823893400204,,
False,,False,False,,,2.0,2.721041148238937,3.0,9.931730289375405,0.0,0.0,4.0,0.0,9.950614771540629,,
True,10.412111498399458,True,True,10.412111498399458,26.451242163861036,133.0,33.02093251181,118.0,82.36564287768348,26.0,44.95645963939363,1081.0,126.0,95.60783045757043,28,42
True,3.805325683004515,True,False,3.805325683004515,,5.0,3.805325683004515,5.0,3.805325683004515,0.0,0.0,10.0,0.0,9.899995151068916,,
True,21.478387056053275,True,True,21.478387056053275,35.15258937677926,143.0,48.67943411351855,129.0,90.3585869235133,18.0,49.08883288973764,988.0,109.0,111.61447977262851,42,35
True,9.713357709827811,True,True,10.321968921831086,27.764283670527597,167.0,40.03346584549216,141.0,84.19907743661172,36.0,43.26998116401606,1040.0,133.0,84.75692226671788,35,21
True,11.79765633301323,True,True,12.622686524195702,33.12439657001963,142.0,54.88222220801857,130.0,96.2014362093972,18.0,56.3217093668054,1044.0,98.0,97.63636465216626,35,42
False,,False,False,,,2.0,4.893193556854108,2.0,4.893193556854108,0.0,0.0,2.0,0.0,6.0216514876783265,,
True,3.789285793681534,True,True,3.789285793681534,20.11848628897627,170.0,35.53920428201714,154.0,62.22979494870996,24.0,37.85758327951793,1061.0,119.0,87.46332543383713,14,28
False,,False,False,,,1.0,1.1336169863285794,1.0,1.1336169863285794,0.0,0.0,2.0,0.0,3.2483257325159203,,
False,,False,False,,,1.0,1.6036572771126218,1.0,1.6036572771126218,0.0,0.0,1.0,0.0,1.9005877475026876,,
False,,False,False,,,2.0,6.187247894535223,1.0,3.3824994251497933,1.0,6.187247894535223,3.0,1.0,9.617911657733512,,
True,5.9823468772943915,True,True,5.9823468772943915,17.280549173284673,125.0,33.287406426515176,114.0,55.997693846658706,20.0,28.929641284184545,1039.0,134.0,101.03739803566579,21,21
False,,False,False,,,1.0,2.570922012370524,1.0,2.570922012370524,0.0,0.0,2.0,0.0,3.888881822664055,,
True,16.728213392974844,True,True,16.728213392974844,32.93612025002879,136.0,57.20044116003426,128.0,108.57819669838611,23.0,51.51758240426184,1017.0,108.0,92.21309506925431,42,49
False,,False,False,,,1.0,1.938004403108871,1.0,1.938004403108871,0.0,0.0,1.0,0.0,2.679881058928184,,
True,10.561648404913816,True,True,10.561648404913816,18.61065018049776,193.0,39.56078311536919,175.0,84.54904915734114,24.0,38.435662472905136,1119.0,130.0,69.561093012429,21,28
False,,False,False,,,1.0,0.28526965255738995,1.0,0.28526965255738995,0.0,0.0,1.0,0.0,0.815950050637094,,
False,,False,False,,,1.0,0.30464513776998364,1.0,0.30464513776998364,0.0,0.0,1.0,0.0,0.34098351188606785,,
True,5.12186649416743,True,True,5.315078452502574,25.262931088300768,124.0,37.98812994549396,117.0,68.09323895262011,19.0,45.80242540765015,1042.0,108.0,98.06432246507796,28,28
True,38.97796432171651,True,True,38.97796432171651,60.32370478777889,170.0,73.64978948532067,155.0,138.37787097848633,25.0,68.85751497392248,1093.0,130.0,135.41460387816136,56,63
True,6.533449746255414,True,True,6.533449746255414,39.387543428297924,144.0,56.2006283882102,130.0,111.28566936395339,22.0,65.6425260059478,1065.0,123.0,137.61062609349563,28,35
True,4.196834604383551,True,True,4.196834604383551,27.254911318557664,146.0,44.915864230724964,130.0,59.19060225234219,21.0,45.35990512791549,1082.0,103.0,82.819435774442,42,7
