Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
False,,False,False,,,1.0,1.9306768176141533,1.0,1.9306768176141533,0.0,0.0,1.0,0.0,6.405625353506391,,
False,,False,False,,,1.0,3.5807018781315407,1.0,3.5807018781315407,0.0,0.0,2.0,0.0,7.870953337763178,,
False,,False,False,,,2.0,2.6692117932296857,2.0,8.775511434006244,1.0,2.6692117932296857,5.0,1.0,10.573990145184768,,
False,,False,False,,,4.0,5.804065594384429,4.0,5.804065594384429,0.0,0.0,4.0,0.0,8.792947276184725,,
True,7.9482678548427295,True,False,7.9482678548427295,,10.0,12.030840103822698,10.0,47.31353327739386,3.0,18.759235894300108,62.0,12.0,50.50707020349546,28,
False,,False,False,,,2.0,3.5100792306635276,2.0,3.5100792306635276,0.0,0.0,2.0,0.0,5.483556236025436,,
False,,False,False,,,1.0,0.6895542576963741,1.0,0.6895542576963741,0.0,0.0,1.0,0.0,0.6902460437621644,,
False,,False,False,,,1.0,0.1521387762497345,1.0,0.1521387762497345,0.0,0.0,1.0,0.0,2.427734435106277,,
False,,False,False,,,3.0,2.9609837138804966,3.0,2.9609837138804966,1.0,7.003581421891412,4.0,1.0,8.173191299804918,,
False,,False,False,,,1.0,0.9929970992916185,1.0,0.9929970992916185,0.0,0.0,1.0,0.0,1.6251308203175,,
True,15.263131296028599,True,False,15.263131296028599,,10.0,20.354365829002752,11.0,43.6207221445084,2.0,26.043561707030356,42.0,4.0,43.79305991089106,,
False,,False,False,,,1.0,0.2265055539763748,1.0,0.2265055539763748,0.0,0.0,1.0,0.0,1.2128530915033011,,
False,,False,False,,,1.0,0.13431453165288534,1.0,0.13431453165288534,0.0,0.0,1.0,0.0,1.0729673305550889,,
True,32.29613862147087,False,False,,,5.0,32.29613862147087,5.0,42.40017787390492,2.0,28.995510771970057,20.0,2.0,38.3531160211669,14,
False,,False,False,,,1.0,1.3252878660215366,1.0,1.3252878660215366,0.0,0.0,2.0,0.0,7.16343867981691,,
False,,False,False,,,2.0,2.2459973398507795,2.0,2.2459973398507795,0.0,0.0,2.0,0.0,5.54599704182783,,
False,,False,False,,,1.0,0.727496848574355,1.0,0.727496848574355,0.0,0.0,1.0,0.0,3.7629104853961546,,
False,,False,False,,,1.0,0.6917220392324561,1.0,0.6917220392324561,0.0,0.0,1.0,0.0,1.8694933714251138,,
False,,False,False,,,2.0,1.4149682987946868,2.0,1.4149682987946868,0.0,0.0,2.0,0.0,5.085831983759942,,
False,,False,False,,,1.0,0.16042002757995338,1.0,0.16042002757995338,0.0,0.0,1.0,0.0,2.9386999287688025,,
False,,False,False,,,1.0,0.8903946575815304,1.0,0.8903946575815304,0.0,0.0,1.0,0.0,1.6708054126786998,,
False,,False,False,,,1.0,1.3486084724639922,1.0,1.3486084724639922,0.0,0.0,1.0,0.0,3.525613630180432,,
False,,False,False,,,1.0,2.2810154486509044,1.0,2.2810154486509044,0.0,0.0,1.0,0.0,3.82352815152275,,
False,,False,False,,,1.0,0.5484302461143404,1.0,0.5484302461143404,0.0,0.0,3.0,0.0,8.196308521666229,,
False,,False,False,,,1.0,1.7937823450551236,1.0,1.7937823450551236,0.0,0.0,2.0,0.0,6.79487232271585,,
False,,False,False,,,1.0,0.5891329449010415,1.0,0.5891329449010415,0.0,0.0,1.0,0.0,2.208788945843642,,
False,,False,False,,,3.0,3.906512641331411,3.0,6.397426571081521,0.0,0.0,3.0,0.0,6.157321281033064,,
False,,False,False,,,1.0,0.16669675033010795,1.0,0.16669675033010795,0.0,0.0,1.0,0.0,0.5321782903728575,,
False,,False,False,,,2.0,6.122600169277227,2.0,6.122600169277227,0.0,0.0,2.0,0.0,6.270847884763216,,
False,,False,False,,,1.0,0.1287765217351074,1.0,0.1287765217351074,0.0,0.0,1.0,0.0,2.773416403148597,,
True,56.38329893103477,False,True,,56.38329893103477,6.0,57.78569393464856,4.0,18.35594014832083,5.0,56.38329893103477,16.0,12.0,65.40855813912378,,
False,,False,False,,,1.0,1.7598080484476457,1.0,1.7598080484476457,0.0,0.0,1.0,0.0,3.0262136984602863,,
False,,False,False,,,2.0,1.690498799732764,2.0,1.690498799732764,0.0,0.0,3.0,0.0,8.449229067124389,,
True,8.329471553360943,True,False,9.076150928896949,,9.0,59.00135039998728,9.0,77.78788496030394,4.0,58.875606786596556,48.0,12.0,69.4939101378058,,35
False,,False,False,,,1.0,1.099980228757329,1.0,1.099980228757329,0.0,0.0,1.0,0.0,1.2657817218431062,,
False,,False,False,,,1.0,0.6304092182156605,1.0,0.6304092182156605,0.0,0.0,1.0,0.0,0.8743226214961582,,
False,,False,False,,,4.0,14.29644701544362,5.0,27.391977555159375,1.0,5.786656934535925,10.0,1.0,26.938761191279205,14,
False,,False,False,,,1.0,0.2567906402613331,1.0,0.2567906402613331,0.0,0.0,1.0,0.0,1.9391439691874048,,
False,,False,False,,,2.0,1.8385957245028746,2.0,1.8385957245028746,0.0,0.0,2.0,0.0,2.3182685586277376,,
False,,False,False,,,1.0,0.31742014862194573,1.0,0.31742014862194573,0.0,0.0,1.0,0.0,2.3332586394247334,,
True,9.016978065694046,True,True,9.016978065694046,36.555004139138745,15.0,39.4964618194661,9.0,55.88334182293025,7.0,39.31929031844305,80.0,27.0,91.39058445320657,42,
False,,False,False,,,2.0,6.165184710249274,2.0,6.165184710249274,0.0,0.0,6.0,0.0,9.205096548769287,,
False,,False,False,,,2.0,2.3373174998853865,2.0,2.3373174998853865,0.0,0.0,2.0,0.0,5.187349694043032,,
False,,False,False,,,1.0,0.3603511068930493,1.0,0.3603511068930493,0.0,0.0,1.0,0.0,0.6201888880603864,,
False,,False,False,,,1.0,0.1788851754573922,1.0,0.1788851754573922,0.0,0.0,1.0,0.0,1.1761803597636367,,
False,,False,False,,,1.0,0.34254845527479605,1.0,0.34254845527479605,0.0,0.0,1.0,0.0,0.6296554527259632,,
False,,False,False,,,1.0,3.8162744721387503,1.0,3.8162744721387503,0.0,0.0,1.0,0.0,6.281310716562484,,
False,,False,False,,,1.0,0.360145022992747,1.0,0.360145022992747,0.0,0.0,1.0,0.0,0.5508056725917003,,
True,5.43450820909017,True,False,5.43450820909017,,7.0,5.7248532026802526,7.0,5.7248532026802526,0.0,0.0,13.0,0.0,17.47796720476148,,
False,,False,False,,,1.0,0.029136677394839446,1.0,0.029136677394839446,0.0,0.0,1.0,0.0,1.940898262802974,,
True,6.969957260540563,True,False,6.969957260540563,,5.0,6.969957260540563,5.0,6.969957260540563,2.0,14.983047187675066,11.0,2.0,17.95484782362064,,
False,,False,False,,,2.0,5.064253841267326,2.0,5.064253841267326,1.0,16.65216524893409,4.0,1.0,18.959558052225677,,7
True,19.58107441452721,False,False,,,5.0,19.58107441452721,4.0,14.659700896009918,1.0,19.58107441452721,8.0,1.0,20.94875298526029,,
False,,False,False,,,1.0,0.0949735360007233,1.0,0.0949735360007233,0.0,0.0,1.0,0.0,0.899513517344256,,
False,,False,False,,,1.0,0.07802701671729462,1.0,0.07802701671729462,0.0,0.0,1.0,0.0,0.5838321945490728,,
True,3.6360465966438946,False,True,,20.250503173536114,10.0,24.024110625099553,3.0,6.72452232330526,8.0,24.024110625099553,13.0,14.0,33.89524187849792,7,
False,,False,False,,,1.0,1.2216592272548008,1.0,1.2216592272548008,0.0,0.0,1.0,0.0,1.9605032859780007,,
False,,False,False,,,3.0,1.177093156991755,2.0,1.0872980368219778,1.0,1.177093156991755,2.0,1.0,4.906395565927965,,
