Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
True,9.142025239576407,True,True,22.14328902292223,10.426600544369022,199.0,48.14727644659087,31.0,111.8318602762593,176.0,49.263266242206264,308.0,1160.0,122.82495930429971,28,49
False,,False,False,,,1.0,0.065661487002198,1.0,0.065661487002198,0.0,0.0,2.0,0.0,6.31886324222711,,
False,,False,False,,,2.0,4.337882124510585,2.0,4.337882124510585,0.0,0.0,2.0,0.0,6.47842022241787,,
False,,False,False,,,1.0,1.2379434128910656,1.0,1.2379434128910656,0.0,0.0,1.0,0.0,1.2740865096126954,,
False,,False,False,,,1.0,1.1339504387441557,1.0,1.1339504387441557,0.0,0.0,1.0,0.0,1.143839992270569,,
True,3.4893716779183865,False,False,,,7.0,3.741426603467627,4.0,3.741426603467627,3.0,3.557493480760001,9.0,9.0,15.922747642530076,,
False,,False,False,,,1.0,0.06672116407928137,1.0,0.06672116407928137,0.0,0.0,1.0,0.0,2.3494467186295473,,
True,8.61467466942885,True,True,17.305842643762386,8.61467466942885,183.0,50.88541882237732,33.0,97.0711100210404,159.0,52.449938379481836,324.0,1144.0,112.58002254601638,49,42
True,15.245916222506251,True,True,40.60697772416123,17.98298824369329,231.0,63.76362007160984,47.0,130.3943571459953,193.0,63.75057198730037,322.0,1128.0,120.1791033042523,21,70
False,,False,False,,,1.0,0.22240328152104175,1.0,0.22240328152104175,0.0,0.0,1.0,0.0,1.9142450836326688,,
False,,False,False,,,2.0,2.659271468608349,2.0,2.659271468608349,0.0,0.0,3.0,0.0,7.214215570834803,,
False,,False,False,,,1.0,0.20179612959909757,1.0,0.20179612959909757,0.0,0.0,1.0,0.0,0.21565808411099213,,
True,7.249120621463997,True,True,32.56177130194181,18.163370090278594,178.0,62.230333266071575,34.0,123.98954619398447,147.0,62.230333266071575,291.0,1026.0,142.0599616864406,63,
True,21.885739844498904,True,True,37.87754455290198,21.885739844498904,160.0,77.04480910469478,28.0,155.78101004734646,142.0,77.04480910469478,296.0,1034.0,135.8095987985098,63,56
False,,False,False,,,1.0,1.690134920652349,1.0,1.690134920652349,0.0,0.0,1.0,0.0,2.0528432709913744,,
False,,False,False,,,1.0,1.8056220714889684,1.0,1.8056220714889684,0.0,0.0,1.0,0.0,6.556425535270461,,
False,,False,False,,,1.0,0.17792874830767708,1.0,0.17792874830767708,0.0,0.0,1.0,0.0,3.336647364052403,,
False,,False,False,,,1.0,3.1922272948604777,1.0,3.1922272948604777,0.0,0.0,1.0,0.0,6.108676417466441,,
False,,False,False,,,1.0,0.8967115759134447,1.0,0.8967115759134447,0.0,0.0,1.0,0.0,1.9270134937752463,,
False,,False,False,,,1.0,0.1302004740036724,1.0,0.1302004740036724,0.0,0.0,1.0,0.0,3.4108500085968787,,
False,,False,False,,,1.0,1.251642168329524,1.0,1.251642168329524,0.0,0.0,1.0,0.0,6.414662699059583,,
False,,False,False,,,1.0,1.2640380523810113,1.0,1.2640380523810113,0.0,0.0,1.0,0.0,2.5591695117584834,,
True,18.65281750297792,True,True,34.08932351998475,18.65281750297792,174.0,65.54282090160102,50.0,118.66234641057338,138.0,55.130531044688915,357.0,1081.0,116.32122950216561,49,70
True,10.128801550026537,True,True,27.121239445338787,10.128801550026537,219.0,48.50377997708201,39.0,86.39137203333479,184.0,46.17768046840337,315.0,1082.0,129.3731142558205,7,70
False,,False,False,,,2.0,5.527018223502317,1.0,0.8041962126504958,1.0,5.527018223502317,1.0,1.0,7.573422532515818,,
False,,False,False,,,1.0,0.4785370651356317,1.0,0.4785370651356317,0.0,0.0,1.0,0.0,3.2765809969968758,,
False,,False,False,,,1.0,1.6602556439508225,1.0,1.6602556439508225,0.0,0.0,2.0,0.0,5.051355266478437,,
False,,False,False,,,2.0,2.9077738127288586,2.0,2.9077738127288586,0.0,0.0,2.0,0.0,5.855939683510453,,
False,,False,False,,,1.0,0.05830313042080654,1.0,0.05830313042080654,0.0,0.0,1.0,0.0,0.18478904356365713,,
True,12.464567660464924,True,True,34.7866773142483,14.031510970808432,192.0,49.93064756247619,36.0,106.9890060646578,168.0,49.88294369519309,328.0,1141.0,141.72407983403417,63,42
False,,False,False,,,1.0,1.5062249739036966,1.0,1.5062249739036966,0.0,0.0,1.0,0.0,2.6987725576564356,,
False,,False,False,,,1.0,0.7688185539537119,1.0,0.7688185539537119,0.0,0.0,1.0,0.0,4.783544388592216,,
False,,False,False,,,1.0,0.23074713330953495,1.0,0.23074713330953495,0.0,0.0,1.0,0.0,1.0428545841650578,,
False,,False,False,,,2.0,1.927858270220556,3.0,8.425397990673009,0.0,0.0,5.0,0.0,9.571413270620457,,
False,,False,False,,,1.0,2.5731296763021585,1.0,2.5731296763021585,0.0,0.0,1.0,0.0,2.8954501338979575,,
False,,False,False,,,1.0,0.28878431632290325,1.0,0.28878431632290325,0.0,0.0,1.0,0.0,1.5783393376276127,,
False,,False,False,,,1.0,1.4396223292446328,1.0,1.4396223292446328,1.0,2.9739422367606254,1.0,1.0,3.2625562324878756,,
False,,False,False,,,1.0,1.317191342927462,1.0,1.317191342927462,0.0,0.0,1.0,0.0,1.9887501554635958,,
False,,False,False,,,2.0,3.9624775557437566,2.0,3.9624775557437566,0.0,0.0,2.0,0.0,5.862630428979322,,
False,,False,False,,,3.0,14.310156852212085,3.0,14.310156852212085,0.0,0.0,6.0,0.0,15.11819686354065,,
True,11.032302712604597,True,True,24.237672553469384,11.892333583402399,217.0,41.62734922894381,40.0,116.31647336975296,189.0,41.174342876913826,341.0,1147.0,90.26969973478808,35,28
False,,False,False,,,2.0,1.1012480013946142,1.0,0.6587324204922912,1.0,1.1012480013946142,1.0,1.0,3.942606510052751,,
False,,False,False,,,1.0,1.6046710635337964,1.0,1.6046710635337964,0.0,0.0,1.0,0.0,1.7785201457475561,,
True,12.813881853973506,True,True,19.721588548097223,15.284611469073994,249.0,41.748418522364354,53.0,84.24490145989151,209.0,41.76943755798399,376.0,1146.0,116.03295078713575,28,42
False,,False,False,,,1.0,0.5487119977081008,1.0,0.5487119977081008,0.0,0.0,1.0,0.0,1.9541898555791675,,
False,,False,False,,,1.0,0.4268081953087972,1.0,0.4268081953087972,0.0,0.0,1.0,0.0,1.7246823375923088,,
False,,False,False,,,1.0,2.636591022892107,1.0,2.636591022892107,0.0,0.0,1.0,0.0,4.450092918067245,,
True,19.72184739195564,True,True,61.31458141183934,19.72184739195564,164.0,83.71452557255272,31.0,161.6539492208227,140.0,89.09254596395641,318.0,1124.0,144.78226461876633,77,77
