Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
True,6.092461011350223,True,True,7.095141915573425,10.399368621718837,911.0,31.265682381487405,569.0,60.30306414498002,381.0,32.95328244578291,2736.0,1338.0,73.04435120921188,28,14
True,9.434793645191798,True,True,9.434793645191798,13.648080003049241,887.0,30.819619406656514,594.0,62.61103711823492,377.0,34.9801186984218,2758.0,1291.0,70.82544124124948,28,21
False,,False,False,,,1.0,0.6009895143127479,1.0,0.6009895143127479,0.0,0.0,1.0,0.0,0.9977958497423307,,
False,,False,False,,,1.0,0.2677498964963733,1.0,0.2677498964963733,0.0,0.0,1.0,0.0,2.5489665012681937,,
True,7.740273935364718,True,True,10.110878901667105,13.1638448929463,902.0,29.576064363954675,586.0,48.68330760465669,340.0,30.73591003590689,2785.0,1319.0,78.08379076100267,14,21
True,7.384515275768836,True,True,7.384515275768836,14.052651060704848,885.0,30.978001240613246,596.0,62.70373566153566,350.0,34.90778384551374,2783.0,1304.0,78.32564000158195,28,14
True,9.589219023818735,True,True,10.371831957776273,12.117960697397075,930.0,29.771457808212816,628.0,62.666943936716066,379.0,33.761564936737685,2791.0,1311.0,64.7565717908429,21,21
True,3.5441332249671116,True,True,5.945789593873022,11.816300447133838,919.0,26.53490726936961,615.0,51.73714821570682,351.0,28.467006477093175,2810.0,1348.0,85.17700050256492,14,21
True,4.107784996435423,True,True,9.710938251710532,7.573207607822579,885.0,30.128161246237656,576.0,54.76861433713546,334.0,31.73964359515578,2762.0,1303.0,81.60052585220927,21,21
True,3.778112836692056,True,True,3.778112836692056,9.186173784139957,893.0,24.80085557117098,605.0,48.431903813166464,346.0,28.305287047174556,2771.0,1305.0,74.97391065226238,14,14
True,5.940376444239284,True,True,7.0930745449685775,10.846614142386432,993.0,28.18458382332988,644.0,47.61740055773566,386.0,30.535744252111762,2829.0,1348.0,98.27627893060034,14,21
False,,False,False,,,2.0,0.8935565366205673,2.0,0.8935565366205673,0.0,0.0,2.0,0.0,2.343981298516533,,
False,,False,False,,,2.0,3.179005956694488,1.0,0.539606721623776,1.0,3.179005956694488,3.0,1.0,5.907508313242919,,
True,4.536970786299863,True,True,8.654007457548053,8.103947836018008,982.0,29.26891537208152,633.0,53.22535823151246,375.0,31.40141762651868,2828.0,1367.0,78.08057914360016,21,21
True,6.158924033043053,True,True,6.158924033043053,14.489733620846076,875.0,32.868361172030426,580.0,63.58915896874636,320.0,35.34247932690007,2773.0,1281.0,81.7615381731442,14,28
True,13.232307444913687,True,True,13.38186621159428,19.26642831317027,900.0,38.854039183314086,588.0,74.62597011640685,340.0,38.53580027381241,2773.0,1313.0,82.96819002322262,28,28
False,,False,False,,,1.0,2.7291371548291163,1.0,2.7291371548291163,0.0,0.0,1.0,0.0,3.208855678046034,,
True,10.765546852603153,True,True,10.765546852603153,15.700394184164487,951.0,32.28638252670994,645.0,61.48693858954741,351.0,34.321223156680574,2780.0,1323.0,80.21262547595148,21,28
False,,False,False,,,1.0,2.0538248500008724,1.0,2.0538248500008724,0.0,0.0,1.0,0.0,2.3100281348315597,,
True,3.703052234884924,True,True,3.703052234884924,16.43644748055067,958.0,29.56665774671816,622.0,58.37347159729033,365.0,31.628852591209952,2804.0,1346.0,69.99701217440625,14,21
False,,False,False,,,1.0,0.12314280400090245,1.0,0.12314280400090245,0.0,0.0,1.0,0.0,1.0460139583773216,,
True,5.137531275085707,True,True,5.137531275085707,11.891706020424987,941.0,28.25842660689753,637.0,55.417550282316654,353.0,30.65449575737915,2832.0,1326.0,72.09765996252278,14,21
True,6.052403175304937,True,True,6.052403175304937,14.581565605885972,816.0,29.466644829321197,563.0,50.77708448904713,327.0,31.4619219531589,2770.0,1292.0,86.55096242018224,21,14
