Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,3.4800370023758496,True,True,4.746439885543129,4.04519476931978,1714.0,27.346830272761277,617.0,52.990523483006996,1105.0,26.693408814508626,2796.0,2959.0,99.72561092180469,14,14
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,7.869652785631474,True,True,8.293613336364654,10.547357623148196,1650.0,32.610831953153046,539.0,64.88749027849546,1134.0,32.75713370415504,2783.0,2966.0,90.77419075477992,21,14
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,4.458651348772439,True,True,5.674780438465715,9.72088382212619,1649.0,29.46315903457632,586.0,51.9217728815056,1086.0,29.39337550242018,2762.0,2948.0,98.02199046831116,21,21
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.5878566342356553,1.0,0.5878566342356553,0.0,0.0,1.0,0.0,1.299228051495058,,
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.7115679618987346,1.0,0.7115679618987346,0.0,0.0,1.0,0.0,3.3056743174541436,,
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.4121896782732817,1.0,1.4121896782732817,0.0,0.0,1.0,0.0,2.3141142673241504,,
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.2403163574201639,1.0,1.2403163574201639,0.0,0.0,1.0,0.0,1.7399935392979826,,
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,13.688379019964657,True,True,19.224242401324148,13.688379019964657,1698.0,38.26191083335854,581.0,77.33336050241587,1139.0,38.26191083335854,2822.0,2950.0,109.35234919209287,28,28
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,7.2028072534561,True,True,8.563598902468897,10.809358547689742,1785.0,32.613128906097565,661.0,68.60980391836137,1132.0,32.61126892971546,2811.0,2938.0,105.7880549347164,28,21
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.1672910139250243,1.0,1.1672910139250243,0.0,0.0,1.0,0.0,1.4344820976430719,,
