Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.01771890487959711,1.0,0.01771890487959711,0.0,0.0,1.0,0.0,3.6317970541171096,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.27601069684190643,1.0,0.27601069684190643,0.0,0.0,1.0,0.0,4.8018067931445065,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.081892011112612,1.0,1.081892011112612,0.0,0.0,1.0,0.0,1.99298753936344,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.4523752300016042,1.0,1.4523752300016042,0.0,0.0,1.0,0.0,3.0908672180383063,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.5807751986488581,1.0,0.5807751986488581,0.0,0.0,1.0,0.0,8.190420948004347,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,15.119351030512775,True,True,24.286904918201593,15.119351030512775,1016.0,39.89491930320136,31.0,75.50696961644448,998.0,39.89491930320136,178.0,2897.0,114.6232627447057,35,42
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.9077620064644991,1.0,1.9077620064644991,0.0,0.0,1.0,0.0,1.9234055708860875,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.10217762080429843,1.0,0.10217762080429843,0.0,0.0,1.0,0.0,0.3719711939600062,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,3.0,2.248447425889626,3.0,2.248447425889626,1.0,13.712008637405292,4.0,1.0,14.957887622453507,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,2.0,2.6422919570941676,1.0,1.654212087416156,1.0,2.6422919570941676,1.0,1.0,4.708148356208086,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.3756862062268662,1.0,0.3756862062268662,0.0,0.0,1.0,0.0,3.09841679913166,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,6.66596544374066,True,True,26.610921606573935,8.216858535780593,1002.0,39.26534890634659,35.0,78.29582570077531,975.0,39.21440803279604,190.0,2921.0,103.79610231071834,28,42
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.2256088556567628,1.0,1.2256088556567628,0.0,0.0,1.0,0.0,3.913837790994517,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.5701172409268082,1.0,0.5701172409268082,0.0,0.0,1.0,0.0,2.15682556603893,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,2.0,3.894236398923133,1.0,1.006191233157816,2.0,3.894236398923133,1.0,2.0,4.7051971667972285,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.5467040418065108,1.0,0.5467040418065108,0.0,0.0,1.0,0.0,0.8364228768142778,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,2.976691429422915,1.0,2.976691429422915,0.0,0.0,1.0,0.0,3.376141122658164,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.2871252603366818,1.0,1.2871252603366818,0.0,0.0,1.0,0.0,1.377137693839072,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.04688456665075131,1.0,0.04688456665075131,0.0,0.0,1.0,0.0,0.6556612923518568,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.6372892988348329,1.0,1.6372892988348329,0.0,0.0,1.0,0.0,3.370494114028026,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.5938901103602822,1.0,0.5938901103602822,0.0,0.0,1.0,0.0,2.0433071080200627,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.3938496220773483,1.0,0.3938496220773483,0.0,0.0,2.0,0.0,5.823041799277064,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.257542475981345,1.0,0.257542475981345,0.0,0.0,1.0,0.0,1.5062729613333277,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.4212084599997095,1.0,0.4212084599997095,0.0,0.0,2.0,0.0,4.646636172696558,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.192797155960003,1.0,1.192797155960003,0.0,0.0,1.0,0.0,3.5673077171141276,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.019859091605051435,1.0,0.019859091605051435,0.0,0.0,1.0,0.0,0.3058763092704575,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,10.34486915908891,True,True,23.773298269670672,10.34486915908891,1021.0,34.26071848302474,33.0,81.1738187548861,992.0,34.26071848302474,198.0,2920.0,90.2200456445964,28,42
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.734012003209343,1.0,1.734012003209343,0.0,0.0,1.0,0.0,3.667970846419329,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,True,17.09024236461073,True,True,37.45437568843796,18.338902340183132,993.0,45.3332437100366,39.0,104.96663921738696,966.0,45.3332437100366,180.0,2910.0,102.74408764867647,42,49
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.37767046562306683,1.0,0.37767046562306683,0.0,0.0,1.0,0.0,0.501863619778059,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.13533582273765518,1.0,0.13533582273765518,0.0,0.0,1.0,0.0,2.9533326584111737,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.6041861098645123,1.0,0.6041861098645123,0.0,0.0,1.0,0.0,0.6155987956830092,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,0.9056335034930356,1.0,0.9056335034930356,0.0,0.0,1.0,0.0,2.9209382923741547,,
3000,2700,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,7.0,7.0,0.95,0.05,False,,False,False,,,1.0,1.8671281484497504,1.0,1.8671281484497504,0.0,0.0,1.0,0.0,1.9222835670444798,,
