Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,True,4.8954045895391785,True,True,10.867136573971889,5.330387355802913,2308.0,30.386953035136294,710.0,57.172066222561085,1647.0,30.654227429774547,2937.0,3000.0,164.41926202791447,14,21
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,True,9.845861297597267,True,True,10.27640337242104,11.06792780968875,2367.0,33.25343659320507,691.0,61.58659418404379,1691.0,33.00583229491579,2935.0,2999.0,149.41686932088794,28,21
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,True,4.251638764496324,True,True,9.280307066660729,4.640854091217543,2383.0,27.238833467751995,758.0,50.84388415691943,1626.0,27.152764782845782,2930.0,2998.0,157.70603551952655,21,21
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,True,9.260228107952967,True,True,17.35768858812744,18.818612522234346,2410.0,40.735910074411855,708.0,78.5377675739085,1710.0,40.686195616549156,2938.0,3000.0,146.58990474378882,28,35
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,False,,False,False,,,1.0,0.9716213974492833,1.0,0.9716213974492833,0.0,0.0,1.0,0.0,0.9818009680079276,,
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,False,,False,False,,,1.0,0.18183766540794177,1.0,0.18183766540794177,0.0,0.0,1.0,0.0,1.0611777887701992,,
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,True,3.2896730226277255,True,True,7.175241512056662,6.601876781237931,2356.0,26.865470899954108,724.0,50.279414374834715,1644.0,26.811636299165325,2934.0,3000.0,149.26158102081024,21,14
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,True,7.990853532015552,True,True,8.213686962646742,10.759506358155312,2350.0,29.666483538485156,696.0,59.0783090426383,1683.0,30.35896523922554,2925.0,2997.0,149.4527358918597,21,21
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,True,5.108992900016914,True,True,5.108992900016914,9.438802016457023,2324.0,30.907624954242515,702.0,62.78315405790062,1651.0,30.923894199175436,2920.0,3000.0,120.83817064114442,21,21
3000,0,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,14.0,14.0,0.95,0.05,False,,False,False,,,1.0,0.29738188670922905,1.0,0.29738188670922905,0.0,0.0,1.0,0.0,0.7798706301159992,,
