Total Duck Population,Vaccinated Chickens,Vaccinated Ducks,Same Species Symptomatic Infection Rate,Same Species Asymptomatic Infection Rate,Different Species Symptomatic Infection Rate,Different Species Asymptomatic Infection Rate,Chicken Symptomatic Latency Period,Duck Symptomatic Latency Period,Chicken Asymptomatic Latency Period,Duck Asymptomatic Latency Period,Chicken Symptomatic Infectious Period,Duck Symptomatic Infectious Period,Chicken Asymptomatic Infectious Period,Duck Asymptomatic Infectious Period,Chicken Symptomatic Probability,Duck Symptomatic Probability,Outbreak,Outbreak Time,Outbreak Chicken,Outbreak Duck,Outbreak Time Chicken,Outbreak Time Duck,Peak Size Whole,Peak Time Whole,Peak Size Chicken,Peak Time Chicken,Peak Size Duck,Peak Time Duck,Final Size Chicken,Final Size Duck,End Time,Detection Time Sentinel,Detection Time Random
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,True,6.11611551602299,True,True,17.925643041750643,6.11611551602299,1988.0,31.848373523662453,149.0,63.78777446591424,1848.0,32.60587447795936,715.0,2999.0,187.1698335163858,28,21
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,False,,False,False,,,1.0,0.47777680030357644,1.0,0.47777680030357644,0.0,0.0,1.0,0.0,1.0549076547232803,,
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,False,,False,False,,,1.0,1.7037234450307606,1.0,1.7037234450307606,0.0,0.0,1.0,0.0,1.9184900505406774,,
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,True,8.400164617031379,True,True,16.12126769631327,8.400164617031379,2008.0,32.26234645712777,125.0,62.64057547114916,1890.0,32.234351132513915,703.0,3000.0,167.9791435313082,28,21
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,False,,False,False,,,1.0,1.6833335604168405,1.0,1.6833335604168405,0.0,0.0,1.0,0.0,8.10661704100424,,
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,False,,False,False,,,1.0,0.17312146487176416,1.0,0.17312146487176416,0.0,0.0,1.0,0.0,0.5067279520788204,,
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,False,,False,False,,,1.0,0.2656810879263664,1.0,0.2656810879263664,0.0,0.0,1.0,0.0,1.2539707006591336,,
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,False,,False,False,,,1.0,1.2216272734171842,1.0,1.2216272734171842,0.0,0.0,1.0,0.0,1.365299056886794,,
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,False,,False,False,,,2.0,4.808541004903455,2.0,4.808541004903455,0.0,0.0,2.0,0.0,8.101118677390469,,
3000,2250,0,1.13,1.07,0.3,0.25,1,1,1,1,3.2,3.2,20.0,20.0,0.95,0.05,False,,False,False,,,1.0,2.551374625427418,1.0,2.551374625427418,0.0,0.0,1.0,0.0,6.480548472018494,,
